iter	Passed	Remaining
891	2158	239793
892	2160	239829
893	2163	239847
894	2165	239828
895	2168	239877
896	2171	239867
897	2173	239862
898	2175	239818
899	2178	239895
900	2181	239928
901	2183	239916
902	2186	239950
903	2188	239953
904	2191	239918
905	2193	239890
906	2195	239867
907	2197	239865
908	2200	239876
909	2203	239898
910	2205	239874
911	2207	239877
912	2209	239844
913	2212	239869
914	2215	239886
915	2217	239914
916	2220	239914
917	2222	239907
918	2225	239916
919	2227	239929
920	2230	239917
921	2232	239936
922	2235	239967
923	2238	239977
924	2240	239966
925	2242	239952
926	2245	240007
927	2248	240001
928	2251	240094
929	2253	240097
930	2256	240126
931	2258	240119
932	2261	240127
933	2263	240108
934	2265	240075
935	2268	240130
936	2271	240102
937	2273	240124
938	2276	240124
939	2278	240102
940	2280	240083
941	2283	240128
942	2286	240169
943	2288	240165
944	2291	240159
945	2293	240137
946	2295	240092
947	2297	240097
948	2300	240108
949	2303	240118
950	2305	240146
951	2307	240118
952	2310	240118
953	2312	240113
954	2315	240097
955	2317	240097
956	2320	240114
957	2322	240083
958	2324	240093
959	2327	240085
960	2329	240082
961	2332	240140
962	2335	240168
963	2338	240267
964	2341	240262
965	2343	240229
966	2345	240221
967	2347	240180
968	2350	240195
969	2352	240205
970	2355	240208
971	2357	240225
972	2360	240216
973	2362	240225
974	2365	240270
975	2368	240255
976	2370	240260
977	2372	240238
978	2374	240208
979	2377	240237
980	2379	240214
981	2382	240199
982	2384	240213
983	2387	240220
984	2389	240234
985	2392	240215
986	2394	240171
987	2396	240147
988	2398	240135
989	2400	240122
990	2403	240120
991	2405	240119
992	2408	240142
993	2411	240145
994	2413	240148
995	2415	240153
996	2418	240163
997	2420	240126
998	2423	240122
999	2425	240147
1000	2428	240147
1001	2430	240123
1002	2432	240094
1003	2435	240112
1004	2437	240106
1005	2440	240122
1006	2442	240135
1007	2444	240101
1008	2447	240102
1009	2449	240088
1010	2452	240119
1011	2454	240088
1012	2456	240061
1013	2459	240046
1014	2461	240058
1015	2463	240038
1016	2466	240033
1017	2468	240032
1018	2471	240029
1019	2473	239991
1020	2475	239972
1021	2477	239977
1022	2480	239979
1023	2482	239929
1024	2484	239934
1025	2487	239925
1026	2489	239929
1027	2492	239923
1028	2494	239933
1029	2497	239951
1030	2499	239929
1031	2501	239920
1032	2503	239889
1033	2506	239879
1034	2508	239867
1035	2511	239871
1036	2513	239866
1037	2516	239879
1038	2518	239872
1039	2520	239859
1040	2523	239840
1041	2525	239831
1042	2527	239823
1043	2529	239790
1044	2532	239801
1045	2534	239776
1046	2536	239762
1047	2539	239755
1048	2541	239771
1049	2544	239751
1050	2546	239751
1051	2548	239720
1052	2551	239747
1053	2553	239747
1054	2556	239723
1055	2558	239735
1056	2560	239705
1057	2562	239683
1058	2565	239649
1059	2567	239645
1060	2570	239655
1061	2572	239642
1062	2574	239628
1063	2577	239661
1064	2579	239660
1065	2582	239642
1066	2584	239638
1067	2587	239657
1068	2589	239636
1069	2591	239620
1070	2593	239592
1071	2597	239661
1072	2599	239662
1073	2601	239658
1074	2604	239647
1075	2606	239661
1076	2608	239625
1077	2610	239581
1078	2613	239568
1079	2615	239565
1080	2618	239567
1081	2620	239575
1082	2622	239558
1083	2624	239522
1084	2627	239528
1085	2629	239534
1086	2632	239504
1087	2634	239495
1088	2637	239519
1089	2639	239510
1090	2641	239493
1091	2644	239503
1092	2646	239509
1093	2649	239507
1094	2651	239479
1095	2653	239446
1096	2655	239449
1097	2658	239435
1098	2660	239413
1099	2662	239375
1100	2664	239369
1101	2667	239388
1102	2669	239394
1103	2672	239375
1104	2674	239390
1105	2677	239388
1106	2679	239396
1107	2681	239374
1108	2684	239395
1109	2686	239376
1110	2689	239398
1111	2692	239397
1112	2694	239379
1113	2696	239355
1114	2698	239362
1115	2701	239372
1116	2703	239361
1117	2705	239333
1118	2708	239342
1119	2711	239363
1120	2713	239355
1121	2715	239329
1122	2717	239307
1123	2720	239287
1124	2722	239288
1125	2724	239267
1126	2726	239232
1127	2729	239220
1128	2731	239212
1129	2734	239214
1130	2736	239203
1131	2739	239267
1132	2742	239282
1133	2744	239310
1134	2747	239325
1135	2749	239308
1136	2751	239276
1137	2754	239281
1138	2756	239285
1139	2759	239305
1140	2762	239335
1141	2764	239331
1142	2767	239328
1143	2769	239338
1144	2772	239348
1145	2774	239314
1146	2777	239334
1147	2779	239347
1148	2782	239363
1149	2784	239363
1150	2787	239379
1151	2790	239408
1152	2792	239389
1153	2794	239373
1154	2796	239362
1155	2798	239324
1156	2801	239337
1157	2803	239334
1158	2807	239400
1159	2809	239384
1160	2811	239341
1161	2813	239349
1162	2816	239317
1163	2818	239288
1164	2820	239294
1165	2823	239299
1166	2825	239296
1167	2827	239287
1168	2830	239273
1169	2832	239269
1170	2835	239315
1171	2837	239292
1172	2839	239268
1173	2842	239249
1174	2844	239258
1175	2847	239262
1176	2849	239236
1177	2851	239212
1178	2854	239218
1179	2856	239215
1180	2858	239218
1181	2861	239209
1182	2863	239227
1183	2866	239238
1184	2869	239257
1185	2871	239236
1186	2874	239252
1187	2876	239263
1188	2878	239227
1189	2881	239229
1190	2883	239231
1191	2885	239209
1192	2888	239218
1193	2890	239193
1194	2893	239204
1195	2895	239184
1196	2897	239174
1197	2899	239160
1198	2902	239147
1199	2904	239148
1200	2907	239143
1201	2909	239145
1202	2911	239138
1203	2914	239139
1204	2916	239119
1205	2918	239099
1206	2921	239112
1207	2923	239111
1208	2926	239098
1209	2928	239095
1210	2930	239094
1211	2933	239088
1212	2935	239086
1213	2937	239055
1214	2940	239049
1215	2942	239049
1216	2945	239066
1217	2947	239032
1218	2949	239015
1219	2951	239006
1220	2954	238986
1221	2956	238971
1222	2958	238964
1223	2960	238942
1224	2963	238919
1225	2965	238921
1226	2967	238902
1227	2970	238927
1228	2972	238925
1229	2975	238949
1230	2977	238926
1231	2979	238901
1232	2982	238868
1233	2984	238862
1234	2986	238864
1235	2988	238823
1236	2991	238816
1237	2993	238822
1238	2996	238815
1239	2998	238813
1240	3001	238829
1241	3003	238841
1242	3005	238803
1243	3008	238802
1244	3010	238779
1245	3012	238777
1246	3015	238786
1247	3017	238746
1248	3019	238709
1249	3021	238681
1250	3024	238728
1251	3026	238696
1252	3028	238681
1253	3030	238659
1254	3033	238672
1255	3035	238680
1256	3038	238665
1257	3040	238675
1258	3042	238647
1259	3045	238626
1260	3047	238632
1261	3049	238625
1262	3052	238607
1263	3054	238588
1264	3056	238599
1265	3059	238574
1266	3061	238534
1267	3063	238510
1268	3065	238484
1269	3067	238472
1270	3070	238480
1271	3072	238487
1272	3074	238472
1273	3077	238450
1274	3079	238437
1275	3081	238430
1276	3084	238426
1277	3086	238433
1278	3089	238442
1279	3091	238434
1280	3094	238442
1281	3096	238431
1282	3098	238422
1283	3101	238412
1284	3103	238416
1285	3106	238451
1286	3108	238444
1287	3111	238456
1288	3114	238468
1289	3116	238461
1290	3118	238461
1291	3121	238463
1292	3123	238449
1293	3125	238442
1294	3128	238438
1295	3130	238424
1296	3132	238403
1297	3135	238401
1298	3137	238373
1299	3139	238363
1300	3141	238322
1301	3144	238334
1302	3146	238316
1303	3148	238290
1304	3150	238299
1305	3153	238294
1306	3155	238270
1307	3157	238276
1308	3160	238272
1309	3162	238249
1310	3165	238263
1311	3167	238265
1312	3169	238247
1313	3172	238268
1314	3175	238283
1315	3177	238302
1316	3181	238371
1317	3183	238345
1318	3185	238351
1319	3188	238394
1320	3191	238396
1321	3193	238409
1322	3196	238413
1323	3198	238404
1324	3201	238406
1325	3203	238409
1326	3206	238421
1327	3208	238421
1328	3211	238406
1329	3213	238387
1330	3215	238401
1331	3218	238396
1332	3220	238369
1333	3222	238364
1334	3225	238371
1335	3227	238376
1336	3230	238387
1337	3232	238389
1338	3235	238381
1339	3237	238399
1340	3240	238403
1341	3242	238388
1342	3245	238403
1343	3247	238397
1344	3249	238370
1345	3252	238368
1346	3255	238420
1347	3257	238417
1348	3260	238412
1349	3262	238436
1350	3265	238410
1351	3267	238398
1352	3269	238407
1353	3272	238387
1354	3274	238366
1355	3276	238347
1356	3278	238320
1357	3280	238297
1358	3283	238316
1359	3285	238295
1360	3287	238281
1361	3289	238264
1362	3292	238264
1363	3294	238270
1364	3297	238269
1365	3299	238281
1366	3302	238273
1367	3304	238275
1368	3307	238303
1369	3310	238327
1370	3312	238317
1371	3315	238308
1372	3317	238331
1373	3320	238335
1374	3322	238331
1375	3325	238330
1376	3327	238331
1377	3329	238322
1378	3332	238313
1379	3334	238287
1380	3336	238256
1381	3338	238258
1382	3341	238248
1383	3343	238242
1384	3345	238234
1385	3348	238230
1386	3350	238225
1387	3353	238223
1388	3355	238213
1389	3357	238206
1390	3359	238165
1391	3361	238147
1392	3364	238169
1393	3366	238151
1394	3369	238152
1395	3371	238150
1396	3374	238155
1397	3376	238146
1398	3379	238161
1399	3381	238170
1400	3384	238168
1401	3386	238169
1402	3388	238158
1403	3391	238167
1404	3393	238152
1405	3396	238148
1406	3398	238145
1407	3401	238147
1408	3403	238142
1409	3405	238145
1410	3408	238144
1411	3410	238134
1412	3413	238131
1413	3415	238128
1414	3417	238109
1415	3419	238095
1416	3422	238075
1417	3424	238054
1418	3426	238069
1419	3429	238056
1420	3431	238050
1421	3433	238026
1422	3435	238022
1423	3438	238008
1424	3440	237992
1425	3442	237991
1426	3445	238006
1427	3447	238002
